asv	AK_0_G1_RepA	AK_0_G1_RepB	AK_0_G1_RepC	AK_0_G2_RepA	AK_0_G2_RepB	AK_0_G2_RepC	AK_1530_G1_RepA	AK_1530_G1_RepB	AK_1530_G1_RepC	AK_1530_G2_RepA	AK_1530_G2_RepB	AK_1530_G2_RepC	AK_630_G1_RepA	AK_630_G1_RepB	AK_630_G1_RepC	AK_630_G2_RepA	AK_630_G2_RepB	AK_630_G2_RepC	BJ_0_G1_RepA	BJ_0_G1_RepB	BJ_0_G1_RepC	BJ_0_G2_RepA	BJ_0_G2_RepB	BJ_0_G2_RepC	BJ_100_G1_RepA	BJ_100_G1_RepB	BJ_100_G1_RepC	BJ_100_G2_RepA	BJ_100_G2_RepB	BJ_100_G2_RepC	BJ_280_G1_RepA	BJ_280_G1_RepB	BJ_280_G1_RepC	BJ_280_G2_RepA	BJ_280_G2_RepB	BJ_280_G2_RepC	BJ_38_G1_RepA	BJ_38_G1_RepB	BJ_38_G2_RepA	BJ_38_G2_RepB	BJ_38_G2_RepC	BV_0_G1_RepA	BV_0_G1_RepB	BV_0_G1_RepC	BV_0_G2_RepA	BV_0_G2_RepB	BV_0_G2_RepC	BV_1110_G1_RepA	BV_1110_G1_RepB	BV_1110_G1_RepC	BV_1110_G2_RepA	BV_1110_G2_RepB	BV_1110_G2_RepC	BV_150_G1_RepA	BV_150_G1_RepB	BV_150_G1_RepC	BV_150_G2_RepA	BV_150_G2_RepB	BV_150_G2_RepC	BV_430_G1_RepA	BV_430_G1_RepB	BV_430_G1_RepC	BV_430_G2_RepA	BV_430_G2_RepB	BV_430_G2_RepC	BV_75_G1_RepA	BV_75_G1_RepB	BV_75_G1_RepC	BV_75_G2_RepA	BV_75_G2_RepB	BV_75_G2_RepC	NK_0_G1_RepA	NK_0_G1_RepB	NK_0_G1_RepC	NK_0_G2_RepA	NK_0_G2_RepB	NK_1330_G1_RepA	NK_1330_G1_RepB	NK_1330_G1_RepC	NK_1330_G2_RepA	NK_1330_G2_RepB	NK_1330_G2_RepC	NK_140_G1_RepA	NK_140_G1_RepB	NK_140_G1_RepC	NK_140_G2_RepA	NK_140_G2_RepB	NK_140_G2_RepC	NK_34_G1_RepA	NK_34_G1_RepB	NK_34_G1_RepC	NK_34_G2_RepA	NK_34_G2_RepB	NK_34_G2_RepC	NK_640_G1_RepA	NK_640_G1_RepB	NK_640_G1_RepC	NK_640_G2_RepA	NK_640_G2_RepB	NK_640_G2_RepC	ST_0_G1_RepA	ST_0_G1_RepB	ST_0_G1_RepC	ST_0_G2_RepA	ST_0_G2_RepB	ST_0_G2_RepC	ST_300_G1_RepA	ST_300_G1_RepB	ST_300_G1_RepC	ST_300_G2_RepA	ST_300_G2_RepB	ST_300_G2_RepC	ST_610_G1_RepA	ST_610_G1_RepB	ST_610_G1_RepC	ST_610_G2_RepA	ST_610_G2_RepB	ST_610_G2_RepC	ST_68_G1_RepA	ST_68_G1_RepB	ST_68_G1_RepC	ST_68_G2_RepA	ST_68_G2_RepB	ST_68_G2_RepC	ST_900_G1_RepA	ST_900_G1_RepB	ST_900_G1_RepC	ST_900_G2_RepA	ST_900_G2_RepB	ST_900_G2_RepC	Hj_0_RepA	Hj_0_RepB	Hj_243_RepA	Hj_243_RepB	Hj_304_RepA	Hj_304_RepB	Hj_488_RepA	Hj_488_RepB	Hj_50_RepA	Hj_50_RepB	Hj_588_RepA	Hj_588_RepB	Ka_0_RepA	Ka_0_RepB	Ka_179_RepA	Ka_179_RepB	Ka_290_RepA	Ka_290_RepB	Ka_428_RepA	Ka_428_RepB	Ka_504_RepA	Ka_504_RepB	total	blast.hit	blast.id	taxonomy	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
ASV_000002	135	169	215	259	88	142	393	341	1097	1010	885	408	444	252	546	400	308	452	563	868	730	531	526	399	912	701	625	504	2345	638	952	1254	1768	682	756	910	686	840	1122	1301	1019	381	131	280	0	838	520	463	704	511	380	286	490	498	479	506	574	359	465	371	402	1802	481	1145	938	544	518	363	511	396	610	655	359	313	684	411	686	306	635	519	865	576	373	559	318	615	885	297	308	486	630	418	1277	409	670	391	317	467	870	1413	113	53	183	244	141	230	229	333	163	183	53	211	393	316	572	521	341	497	277	221	382	162	318	354	341	240	551	411	483	318	136	1139	2510	9482	5301	6913	16	11685	8916	3029	4335	3764	2781	4018	211	3303	1064	3545	1103	2149	2056	2058	156989	100.000	JF791016	Strombidium cf. basimorphum	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Strombidiidae	Strombidium		
ASV_000006	23	13	53	84	0	33	104	105	241	227	178	13	61	64	0	0	0	295	40	73	43	23	23	32	24	14	44	0	83	47	38	67	89	39	18	50	56	53	74	109	40	277	84	159	0	387	218	31	146	116	31	25	68	39	260	289	300	104	131	56	158	266	124	217	86	454	197	469	330	233	457	228	15	14	62	23	31	7	8	51	11	45	33	90	18	73	191	35	0	29	75	70	244	0	77	0	0	40	50	46	15	0	0	0	8	0	0	27	0	0	0	0	113	74	93	188	60	51	34	13	126	22	131	26	61	0	0	38	87	112	0	19	1448	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	12767	98.462	FJ876964	Rimostrombidium veniliae	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Choreotrichia	Choreotrichida	Strobilidiidae	Rimostrombidium	
ASV_000007	0	9	0	0	0	0	36	99	5	135	79	152	0	51	0	0	0	40	35	17	18	11	14	0	5	0	0	5	0	0	14	28	30	0	0	25	0	19	0	18	10	5	27	26	0	101	53	128	81	0	132	97	142	0	46	0	0	0	0	29	103	239	0	20	205	29	0	0	0	0	0	26	0	0	0	0	16	9	0	34	0	0	0	42	0	0	17	0	0	0	23	0	89	0	18	0	17	0	0	17	0	0	0	0	0	0	0	0	0	0	0	74	94	44	41	0	0	40	11	0	14	0	0	39	3	36	11	7	14	0	0	42	47	80	41	72	0	68	4488	78	52	156	15	986	0	9	0	0	0	0	60	57	9305	99.231	AY143565	Strombidium sp. SBB99-1	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Strombidiidae	Strombidium		
ASV_000012	22	0	23	29	0	38	19	0	88	120	83	49	23	14	47	0	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	17	8	0	0	25	20	12	8	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	18	14	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	22	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	8	0	0	0	16	0	0	49	44	21	20	28	176	0	13	23	0	0	21	0	0	11	16	15	10	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	273	0	0	0	1517	100.000	KM084726	Strombidium chlorophilum	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Strombidiidae	Strombidium		
ASV_000035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	16	164	44	34	12	0	0	0	0	0	0	10	11	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	100.000	FJ775722	Pseudokeronopsis cf. flava	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Stichotrichia	Urostylida	Pseudokeronopsidae	Pseudokeronopsis	
ASV_000046	0	0	0	0	0	0	0	0	0	0	0	35	36	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	38	0	34	0	0	0	0	0	0	0	0	18	7	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	99.231	AM412524	Strombidinopsis sp. NSMS0601	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Choreotrichia	Choreotrichida	Strombidinopsidae	Strombidinopsis	
ASV_000049	278	535	609	41	0	15	81	43	10529	2368	4488	334	1575	386	1125	271	286	52	1889	14450	4887	194	661	91	1414	336	1220	38	112	489	157	175	4640	3624	3895	408	398	267	101	3256	11332	1883	81	1706	113215	395	331	215	212	980	892	626	210	6189	8354	376	294	13076	15895	3572	786	1541	80	2204	2728	263	10152	5464	1735	1286	103	609	59	522	965	120	175	40	5495	3930	3336	420	197	451	66	109	5424	1414	2446	1753	5860	247	122	79	6531	441	275	50	153	209	319	699	367	38	20	0	194	25	18	19	14165	2641	1930	391	680	338	1506	215	552	716	695	103	157	248	104	98	2427	786	688	99	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	25	0	0	0	34	343969	97.692	KY922825	Spathidium stammeri	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida	Spathidiidae	Spathidium	
ASV_000060	0	0	0	0	0	0	0	0	50	0	12	11	0	0	0	0	0	50	32	30	28	13	42	0	8	28	10	13	44	10	24	24	44	31	40	23	25	30	28	34	9	23	0	13	0	26	14	13	0	0	20	0	0	0	34	0	47	11	10	0	0	0	0	15	0	0	0	23	0	0	24	22	0	0	0	0	18	0	6	0	16	16	10	56	10	0	0	0	0	8	17	0	58	9	15	5	11	16	36	21	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	19	0	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0	0	0	0	650	16	0	0	0	0	0	0	0	0	0	0	0	0	2112	93.846	LC129266	uncultured Cryptocaryon	 Eukaryota	Alveolata	Ciliophora	unclassified Ciliophora	Cryptocaryon	environmental samples				
ASV_000066	27	13	25	50	7	13	188	203	571	382	295	103	62	56	32	256	213	206	19	0	21	25	46	42	101	49	381	135	511	122	952	1703	836	327	465	442	305	353	240	174	120	0	0	0	0	0	0	0	20	31	0	0	0	22	9	0	0	18	0	16	56	37	58	42	42	0	0	0	0	0	0	345	132	128	285	335	314	202	289	267	462	417	248	377	496	292	308	284	82	260	345	251	454	229	130	48	95	75	294	473	22	20	0	57	24	21	283	276	208	257	16	189	172	202	245	246	293	292	175	124	96	86	159	106	197	149	379	313	120	166	0	0	0	0	0	542	0	118	69	107	171	0	0	22	0	13	0	0	0	0	0	0	24974	99.231	KT346302	uncultured ciliate	 Eukaryota	Alveolata	Ciliophora	environmental samples						
ASV_000069	0	0	0	0	0	0	0	0	28	8	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	32	0	0	0	0	11	0	25	0	0	0	0	0	0	38	0	0	19	0	24	24	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	569	2082	100.000	FJ876965	Lynnella semiglobulosa	 Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Choreotrichia	Choreotrichida	Lynnellidae	Lynnella	
