Sample	Farm	Replicate	Distance	AMBI	EQ	Latitude	Longitude
AK_0_G1_RepA	Aukrasanden	1	0	5,96938	5	62°46.935 N	6°55.399 E
AK_0_G1_RepB	Aukrasanden	2	0	5,96938	5	62°46.935 N	6°55.399 E
AK_0_G1_RepC	Aukrasanden	3	0	5,96938	5	62°46.935 N	6°55.399 E
AK_0_G2_RepA	Aukrasanden	4	0	5,96853	5	62°46.935 N	6°55.399 E
AK_0_G2_RepB	Aukrasanden	5	0	5,96853	5	62°46.935 N	6°55.399 E
AK_0_G2_RepC	Aukrasanden	6	0	5,96853	5	62°46.935 N	6°55.399 E
AK_1530_G1_RepA	Aukrasanden	1	1530	1,30127	2	62°46.457 N	6°56.861 E
AK_1530_G1_RepB	Aukrasanden	2	1530	1,30127	2	62°46.457 N	6°56.861 E
AK_1530_G1_RepC	Aukrasanden	3	1530	1,30127	2	62°46.457 N	6°56.861 E
AK_1530_G2_RepA	Aukrasanden	4	1530	1,38916	2	62°46.457 N	6°56.861 E
AK_1530_G2_RepB	Aukrasanden	5	1530	1,38916	2	62°46.457 N	6°56.861 E
AK_1530_G2_RepC	Aukrasanden	6	1530	1,38916	2	62°46.457 N	6°56.861 E
AK_630_G1_RepA	Aukrasanden	1	630	2,40892	2	62°46.623 N	6°55.701 E
AK_630_G1_RepB	Aukrasanden	2	630	2,40892	2	62°46.623 N	6°55.701 E
AK_630_G1_RepC	Aukrasanden	3	630	2,40892	2	62°46.623 N	6°55.701 E
AK_630_G2_RepA	Aukrasanden	4	630	1,69405	2	62°46.623 N	6°55.701 E
AK_630_G2_RepB	Aukrasanden	5	630	1,69405	2	62°46.623 N	6°55.701 E
AK_630_G2_RepC	Aukrasanden	6	630	1,69405	2	62°46.623 N	6°55.701 E
BJ_0_G1_RepA	Bjørnsvik	1	0	4,44714	4	67°31.969 N	15°23.262 E
BJ_0_G1_RepB	Bjørnsvik	2	0	4,44714	4	67°31.969 N	15°23.262 E
BJ_0_G1_RepC	Bjørnsvik	3	0	4,44714	4	67°31.969 N	15°23.262 E
BJ_0_G2_RepA	Bjørnsvik	1	0	4,52722	4	67°31.969 N	15°23.262 E
BJ_0_G2_RepB	Bjørnsvik	2	0	4,52722	4	67°31.969 N	15°23.262 E
BJ_0_G2_RepC	Bjørnsvik	3	0	4,52722	4	67°31.969 N	15°23.262 E
BJ_100_G1_RepA	Bjørnsvik	1	100	3,88342	3	67°31.913 N	15°23.260 E
BJ_100_G1_RepB	Bjørnsvik	2	100	3,88342	3	67°31.913 N	15°23.260 E
BJ_100_G1_RepC	Bjørnsvik	3	100	3,88342	3	67°31.913 N	15°23.260 E
BJ_100_G2_RepA	Bjørnsvik	1	100	4,79059	4	67°31.913 N	15°23.260 E
